[2025-06-10 10:09:15,366] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:52:21,858] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:52:22,179] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:52:22,601] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:52:22,673] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:52:22,707] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:52:22,780] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:53:34,278] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:53:34,294] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:53:34,299] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:53:34,418] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:53:34,502] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:53:34,574] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:53:34,578] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:53:34,593] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:55:27,574] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:55:28,491] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:55:28,491] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:55:28,891] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:55:28,903] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:55:28,906] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:55:28,974] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:55:29,005] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:57:11,619] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:57:11,780] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:57:11,797] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:57:11,803] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:57:11,803] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:57:11,807] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:57:11,883] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:57:11,883] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:58:46,007] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:58:46,871] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:58:47,479] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:58:48,592] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:58:48,706] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:58:48,710] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:58:48,770] [INFO] Model initialized on device: cuda:0
[2025-06-10 10:58:48,773] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:00:20,197] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:00:20,476] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:00:21,780] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:00:22,200] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:00:22,377] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:00:22,393] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:00:22,677] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:00:22,778] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:01:46,216] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:01:46,311] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:01:46,324] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:01:46,477] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:01:46,479] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:01:46,502] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:01:46,572] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:01:46,575] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:03:31,110] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:03:31,399] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:03:31,696] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:03:32,109] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:03:32,202] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:03:32,206] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:03:32,216] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:03:32,220] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:04:34,513] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:04:35,375] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:04:35,903] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:04:36,173] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:04:36,415] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:04:36,874] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:04:37,105] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:04:37,199] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:06:28,018] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:06:28,270] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:06:28,500] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:06:28,703] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:06:28,907] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:06:28,912] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:06:28,913] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:06:28,915] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:08:01,784] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:08:01,920] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:08:01,920] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:08:07,589] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:08:07,971] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:08:09,599] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:08:10,179] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:08:10,275] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:09:43,782] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:09:48,800] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:09:49,180] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:09:49,679] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:09:49,970] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:09:50,171] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:09:50,186] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:09:50,188] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:11:23,082] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:11:23,184] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:11:23,215] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:11:23,373] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:11:23,379] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:11:23,406] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:11:23,407] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:11:23,471] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:12:42,900] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:12:43,105] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:12:43,592] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:12:45,281] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:12:45,304] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:12:45,312] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:12:45,313] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:12:45,365] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:14:26,989] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:14:27,316] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:14:27,526] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:14:27,967] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:14:29,633] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:14:29,637] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:14:29,728] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:14:30,089] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:15:37,892] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:15:38,403] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:15:38,993] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:15:38,997] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:15:39,101] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:15:39,196] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:15:39,506] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:15:39,574] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:17:35,339] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:17:35,482] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:17:35,699] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:17:35,798] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:17:35,802] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:17:35,989] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:17:36,304] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:17:36,578] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:19:30,787] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:19:30,979] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:19:31,174] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:19:31,180] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:19:31,185] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:19:31,185] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:19:31,187] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:19:31,189] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:21:22,066] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:21:22,108] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:21:22,425] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:21:22,430] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:21:22,593] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:21:22,594] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:21:22,898] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:21:23,206] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:23:16,751] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:23:17,115] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:23:17,471] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:23:17,676] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:23:17,679] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:23:17,689] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:23:17,694] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:23:17,706] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:25:08,106] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:25:09,494] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:25:09,780] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:25:09,780] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:25:10,009] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:25:10,136] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:25:10,188] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:25:10,195] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:26:58,915] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:26:59,320] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:26:59,490] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:26:59,496] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:26:59,496] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:26:59,583] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:26:59,914] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:27:00,175] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:28:09,004] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:28:10,676] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:28:11,000] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:28:11,011] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:28:11,089] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:28:11,174] [INFO] Model initialized on device: cuda:0
[2025-06-10 11:28:11,186] [INFO] Model initialized on device: cuda:0
